3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
5.1.1.3.4.1	NPAC SMS shall provide a Cancel-Conflict Subscription Retention tunable parameter which is defined as the length of time that canceled Subscription Versions with a pre-cancellation status of conflict shall be retained and accessible through a query request.
5.1.1.3.5.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Cancel-Conflict Subscription Retention tunable parameter.
5.1.1.3.6.1	NPAC SMS shall default the Cancel-Conflict Subscription Retention tunable parameter to 30 calendar days.
5.1.1.1.1.1	NPAC SMS shall provide a Pending Subscription Retention tunable parameter, which is defined as the length of time that a pending Subscription Version shall remain in the system prior to cancellation.
5.1.1.1.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Pending Subscription Retention tunable parameter.
5.1.1.1.3.1	NPAC SMS shall default the Pending Subscription Retention tunable parameter to 90 calendar days.
5.1.1.1.4.1	NPAC SMS shall cancel a Subscription Version by setting the subscription version to cancel after a pending Subscription Version has existed in the system for a Pending Subscription Retention number of calendar days subsequent to new Service Provider Due Date, or old Service Provider Due Date if the new Service Provider Due Date has not been received by the NPAC SMS.
5.1.1.5.1	NPAC SMS shall create individual Subscription Versions when a Subscription Version creation request is received for a TN range.
5.1.1.6.1	NPAC SMS shall log all subscription administration transactions. The log entries shall include:  •	Activity Type: create, modify, activate, query, all status types, and all acknowledgments. •	Service Provider ID •	Initial Version Status •	New Version Status (if applicable) •	User ID and/or Login  •	Local Number Portability Type  •	Date  •	Time  •	Ported Telephone Number •	Status Flag   successful or failed •	Subscription Version ID (when assigned)
5.1.2.1.7.1	NPAC SMS shall allow NPAC personnel and the SOA to NPAC SMS interface to create a Subscription Version.
5.1.2.1.55.1	NPAC SMS shall allow NPAC personnel, a Service Provider SOA via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to create inter-service provider ports or intra-service provider ports for a TN within the 1K Block, when the currently active Subscription Version(s) is LNP Type POOL, and the Block’s status is active, with an empty Failed SP List.  (Previously SV-195)
5.1.2.1.8.1.1	NPAC SMS shall allow NPAC personnel and the SOA to NPAC SMS interface to modify a Subscription Version.
5.1.2.1.9.1	NPAC SMS shall allow NPAC personnel and the SOA to NPAC SMS interface to activate a Subscription Version.
5.1.2.1.10.1.1	NPAC SMS shall allow NPAC personnel to set a Subscription Version to conflict.
5.1.2.1.10.2.1	NPAC SMS shall prohibit a Subscription Version in conflict from being activated.
5.1.2.1.11.1	NPAC SMS shall allow NPAC personnel and the SOA to NPAC SMS interface to disconnect a Subscription Version.
5.1.2.1.12.1	NPAC SMS shall allow NPAC personnel and the SOA to NPAC SMS interface to cancel a Subscription Version.
5.1.2.1.13.1	NPAC SMS shall allow NPAC personnel, Local SMS/ SOA to NPAC SMS interface to query for a Subscription Version.
5.1.2.2.1.3.1	NPAC SMS shall notify all accepting Local SMSs and SOAs of the NPA-NXX, effective date, and owning Service Provider when an NPA-NXX is being ported for the first time immediately after creation validation of a Subscription Version.
5.1.2.2.1.53.1	NPAC SMS shall notify all accepting Local SMSs and SOAs of the NPA-NXX, effective date, and owning Service Provider when a new NPA-NXX involved in an NPA Split, is being ported for the first time, after the start of permissive dialing, immediately after creation validation of a Subscription Version.
5.1.2.2.1.1.14.1	NPAC SMS shall accept the following data from the NPAC personnel or old Service Provider upon Subscription Version creation for an Inter-Service Provider port: •	Local Number Portability Type:  Port Type. •	Ported Telephone Number(s):   this entry can be a single TN or a continuous range of TNs that identifies a subscription or a group of Subscription Versions that share the same attributes. •	Due Date :  date on which transfer of service from old facilities based Service Provider to new facilities based Service Provider is initially planned to occur. •	New facilities based Service Provider ID: the identifier of the new facilities based Service Provider. •	Old facilities based Service Provider ID:  the identifier of the old facilities based Service Provider. •	Authorization from old facilities based Service Provider: indication that the transfer of service is authorized by the ported from Service Provider. •	Status Change Cause Code - indication of reason for denial of authorized by the Old Service Provider.
5.1.2.2.1.1.15.1.1	NPAC SMS shall require the following data from NPAC personnel or the new Service Provider upon Subscription Version creation for an Inter-Service Provider port when NOT “porting to original”: •	Local Number Portability Type   Port Type.  This field must be set to “LSPP” for Inter-Service Provider ports. •	Ported Telephone Number(s)   this entry can be a single TN or a continuous range of TNs that identifies a subscription or a group of Subscription Versions that share the same attributes. •	Due Date   date on which transfer of service from old facilities based Service Provider to new facilities based Service Provider is initially planned to occur. •	New Facilities based Service Provider ID   the identifier of the new facilities based Service Provider. •	Old Facilities based Service Provider ID   the identifier of the old facilities based Service Provider. •	Location Routing Number (LRN)   the identifier of the ported to switch. •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC (if supported by the Service Provider SOA) •	WSMSC SSN (if supported by the Service Provider SOA) •	Porting to Original - flag indicating whether or not this is a “porting to original” port.  This flag must be set to “FALSE” for this type of Inter-Service Provider port.
5.1.2.2.1.1.15.2.1	NPAC SMS shall require the following data from NPAC personnel or the new Service Provider upon Subscription Version creation for an Inter-Service Provider “porting to original” port: •	Local Number Portability Type   Port Type.  This field must be set to “LSPP” for “porting to original” ports. •	Ported Telephone Number(s)   this entry can be a single TN or a continuous range of TNs that identifies a subscription or a group of Subscription Versions that share the same attributes. •	Due Date   date on which transfer of service from old facilities based Service Provider to new facilities based Service Provider is initially planned to occur. •	New Facilities based Service Provider ID   the identifier of the new facilities based Service Provider. •	Old Facilities based Service Provider ID   the identifier of the old facilities based Service Provider. •	Porting to original   flag indicating whether or not this is a “porting to original” port.  This flag must be set to “TRUE” for “porting to original” port.
5.1.2.2.1.1.16.1	NPAC SMS shall accept the following optional fields from NPAC personnel or the new Service Provider upon Subscription Version creation for an Inter-Service Provider port: •	Billing Service Provider ID •	End User Location   Value •	End User Location   Type
5.1.2.2.1.1.18.1.1	NPAC SMS shall perform field-level data validations to ensure that the value formats for the following input data, if supplied, is valid according to the formats specified in Table 3-6 upon Subscription Version creation for an Inter-Service Provider port: •	LNP Type •	Ported TN(s) •	Old Service Provider Due Date •	New Service Provider Due Date •	Old Service Provider ID •	New Service Provider ID •	Authorization from old facilities-based Service Provider •	Status Change Cause Code •	LRN •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC  •	WSMSC SSN •	Porting to Original •	Billing Service Provider ID •	End-User Location - Value •	End-User Location - Type
5.1.2.2.1.1.18.2.1	NPAC SMS shall verify the old and new Service Provider due dates are the same upon initial Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.18.3.1	NPAC SMS shall verify that the due date is the current or a future date upon Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.18.4.1	NPAC SMS shall verify that the NPA-NXX to be ported exists as an NPA-NXX in the NPAC SMS system upon Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.44.1	NPAC SMS shall verify that the due date is greater than, or equal to, the NPA-NXX effective date upon Subscription Version creation for an Inter-Service Provider Port.
5.1.2.2.1.1.18.5.1	NPAC SMS shall verify that the old and new Service Provider IDs exist in the NPAC SMS system upon Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.18.6.1	NPAC SMS shall verify that an input LRN is associated with the new Service Provider in the NPAC SMS system upon Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.18.7.1	NPAC SMS shall verify that the originating user is identified as the new or old Service Provider on the incoming Subscription Version upon Subscription Version creation for an Inter-Service Provider port.
5.1.2.2.1.1.18.8.1	NPAC SMS shall verify that authorization for transfer of service for a given Service Provider does not already exist when a Service Provider creates a Subscription Version for an Inter-Service Provider port.
